,longitude,latitude,ssrd,t2mmin,vpd,FPAR
1982-12-14,11.625,50.875,1.6033849,-1.9451294,227.01451,0.27733332
1982-12-15,11.625,50.875,0.88470304,-0.048736572,564.9596,0.26999998
1982-12-16,11.625,50.875,2.2521415,4.3137207,845.4378,0.27249998
1982-12-17,11.625,50.875,3.1619196,0.94070435,554.9945,0.27499998
1982-12-18,11.625,50.875,1.8607271,-0.32510376,279.04434,0.27749997
1982-12-19,11.625,50.875,3.0399601,-0.6324158,479.71558,0.27999997
1982-12-20,11.625,50.875,0.9108173,0.7540283,532.9811,0.2825
1982-12-21,11.625,50.875,3.1645632,2.9068604,679.68933,0.285
1982-12-22,11.625,50.875,2.2895825,0.9006653,629.36694,0.2875
1982-12-23,11.625,50.875,1.9416242,-0.05871582,264.48666,0.29
1982-12-24,11.625,50.875,2.358661,-1.411377,292.79608,0.2925
1982-12-25,11.625,50.875,0.7426121,-0.3755188,255.80524,0.295
1982-12-26,11.625,50.875,1.4564236,0.023132324,375.28702,0.29749998
1982-12-27,11.625,50.875,0.7016308,3.4598694,558.9518,0.3
1982-12-28,11.625,50.875,3.1328719,1.4851685,527.3472,0.3025
1982-12-29,11.625,50.875,3.1100698,0.07714844,396.4897,0.305
1982-12-30,11.625,50.875,2.1275964,-0.03366089,385.26562,0.3075
1982-12-31,11.625,50.875,3.806473,-1.9932861,408.96616,0.31
1983-01-01,11.625,50.875,3.0871997,-2.3787231,516.46466,0.30466667
1983-01-02,11.625,50.875,1.3396403,-0.67648315,387.372,0.29933333
1983-01-03,11.625,50.875,1.0682566,-1.186554,412.8347,0.294
1983-01-04,11.625,50.875,0.89553183,5.6202393,799.688,0.28866667
1983-01-05,11.625,50.875,1.2425996,3.7633972,607.2186,0.28333333
1983-01-06,11.625,50.875,2.3694737,8.055664,1038.2327,0.278
1983-01-07,11.625,50.875,2.44052,2.6993713,719.3086,0.27266666
1983-01-08,11.625,50.875,1.9236718,0.82003784,535.35834,0.26733333
1983-01-09,11.625,50.875,2.1415715,0.93600464,565.63934,0.262
1983-01-10,11.625,50.875,2.8001282,4.1186523,693.33307,0.25666666
1983-01-11,11.625,50.875,1.5446528,4.5415344,657.15814,0.25133333
1983-01-12,11.625,50.875,3.8560603,0.9725952,528.4814,0.24599999
1983-01-13,11.625,50.875,3.7814293,0.22238159,560.7104,0.24066666
